ID,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,CNT_FAM_MEMBERS,STATUS,customer_category,risk_score,credit_decision
5008804,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008804,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008804,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008804,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008804,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008804,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008804,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008804,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008804,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008804,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008804,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008804,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008804,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008804,380250.0,Working,2.0,1,Bad Customer,40,REJECT
5008804,380250.0,Working,2.0,0,Good Customer,80,APPROVE
5008804,380250.0,Working,2.0,X,Good Customer,80,APPROVE
5008805,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008805,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008805,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008805,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008805,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008805,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008805,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008805,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008805,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008805,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008805,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008805,380250.0,Working,2.0,C,Good Customer,80,APPROVE
5008805,380250.0,Working,2.0,1,Bad Customer,40,REJECT
5008805,380250.0,Working,2.0,0,Good Customer,80,APPROVE
5008805,380250.0,Working,2.0,X,Good Customer,80,APPROVE
5008806,112500.0,Working,2.0,C,Good Customer,60,APPROVE
5008806,112500.0,Working,2.0,C,Good Customer,60,APPROVE
5008806,112500.0,Working,2.0,C,Good Customer,60,APPROVE
5008806,112500.0,Working,2.0,C,Good Customer,60,APPROVE
5008806,112500.0,Working,2.0,C,Good Customer,60,APPROVE
5008806,112500.0,Working,2.0,C,Good Customer,60,APPROVE
5008806,112500.0,Working,2.0,C,Good Customer,60,APPROVE
